username,rating,comment
novaentin,5,"Sepadan dengan Harga:worth it!
Fitur Terbaik:Lucu bgt mic nya kecil, ringan

Gampang banget connect ke bluetooth, nyaring suaranya. Hahaha suka sih jadi hemat bisa karaokean dimanapun, kapapun. Ringan bgt, bisa ditenteng dibawa kemanapun. Terimakasih✨🫶🏻"
mayaanggraeni8888,5,"Fitur Terbaik:soundx oke suara jernih

Harga murce dg kualitas bagus"
p*****5,5,"Sepadan dengan Harga:spiker
Fitur Terbaik:lumayan buat sehari hari

Lumayan bisa dibawa kemanapun kita pergi lumayan enak buat karoke.. dan lain'"
1uhsg9rxxz,5,"Fitur Terbaik:baik
Sepadan dengan Harga:harga murah kualitas bagus 👍👍👍"
septianflorenzi,5,"Fitur Terbaik:mantap harga murah kualitas lumayan
Sepadan dengan Harga:sesuai harga

Recommended seller dan pengiriman barang cepat packing oke"
a*****i,5,"Fitur Terbaik:Pokoknya TOP. Anak kami senang dech... 👍
Sepadan dengan Harga:Bagi kami harga sangat sepadan dg barangnya, bahkan kami bisa mengatakan murah tp ga murahan lho... 😄

Kami mau jadi langganan di toko ini. Ayo, buruan beli di toko ini, harga dan barangnya sepadan lho, bisa dibilang murah tp tdk murahan yach. 
Pokoknya puas dech beli di toko ini. 
Teman2 kami pun saya sarankan untuk beli di toko ini. 
Kualitas produk, pelayanan penjualan dan kecepatan kirim sangat memuaskan kami sbg pembeli. Terima kasih saudara penjual... 🙏"
ajisantoso060,5,"Fitur Terbaik:sangat baik
Sepadan dengan Harga:ok

Pengiriman cepat paking juga rapi suaraa oke"
f*****3,5,"Sepadan dengan Harga:sepadan
Fitur Terbaik:baik

Alhamdulillah barangnya udah nyampe... barangnya bagus wor'it buat harga segitu... kurirnya ramah"
b*****s,5,"Sepadan dengan Harga:lumayan
Fitur Terbaik:belum coba

Baru sampe speaker nya, Alhamdulillah aman. Semoga awet, belum dicoba yang mic nya, ndak papa udah memuaskan, thanks min"
a*****5,5,"Fitur Terbaik:suara oke, mic juga oke
Sepadan dengan Harga:Barang bagus, sesuai dengan harga

Barangnya bagus, warnanya bagus, suara oke, bisa dibawa kemana-mana, nggak nyesal beli, terima kasih"
aamfdh,5,"Fitur Terbaik:baguss
Sepadan dengan Harga:benerr

Bagus si ga ada yang minus cumaa gw gatau ni tandanya penuh batrainya gimana tolong dong"
i*****1,5,"Fitur Terbaik:suara speakernya kurang jernih ygy ya sepadan sama harganya lah, baguss kokkk
Sepadan dengan Harga:murah meriah,"
yulieyulie769,5,"Bassnya baguss 
Suaranya keras sekali,pengirimannya cepat gak nyesel kok 😊😊"
febyfeby721,5,"Sepadan dengan Harga:Iya
Fitur Terbaik:Iya

Aaaa suka banget barangnya bagus murah tapi gak murahan tau nggak nyesel pesen disini guysss semuanya bagus semoga aja awet nggak cepet rusak next beli lagi"
a*****n,5,"Barangnya sdah smpai, paket dalam kondisi aman. Kelengkapan nya ada semua sesuai dngn deskripsi, kecepatan pengiriman lumayan oke.. Mic nya normal, suara juga keras dan jelas, semoga saja awet.. Mantep lah buat harga segitu.. Thanks.."
m*****y,5,"Sepadan dengan Harga:murah meriah
Fitur Terbaik:suaranya lumayan bagus

Sebelumnya mohon maaf baru kasih nilai setelah sekian lama akhirnya bisa kasih nilai, hp abis eror. Dengan harga segitu lumayan lah."
tessyaaurellia199,5,"Fitur Terbaik:baik bagus
Sepadan dengan Harga:iya sangat memuaskan

Aku suka dengan barangnya semua bisa digunakan cocok dibawa kemana"". Untuk pengemasan dikasih bublewrap jadi aman. Kalo pengiriman kenapa sih harus muter"" sampai ke solo jadi greget deh nunggunya kan rumahnya mana muternya sampai mana😌"
masarsiy,5,"Fitur Terbaik:mantap
Sepadan dengan Harga:harga terjangkauu,

real pick yaaa.pengiriman juga cepatt.gc nyesel order di toko ini."
dendy_firoh,5,"Fitur Terbaik:sangat baik

Barang sampai dengan aman gak ada yg rusak, good pokoknya"
r*****9,4,"bagus unguk harga segitu, barangnya ringan tapi tetap bisa karaokean dan mendengarkan lagu. pengiriman juga cepat."
kholifa.az_zahra04,3,"Ok lah,packingan rapi tpi mic nya kurang buble wrap,kualitas produk blom di coba jdi ga tau"
r*****p,5,"Fitur Terbaik:harga murah kualitas nya bagus banget
Sepadan dengan Harga:iya

Suara nya halus jernih banget, harga nya murah, gk nyangka kalau se bagus ini🥳 pengiriman juga cepet banget , bubble wrap nya tebel sangat aman👍👍"
ibad0703,4,"Fitur Terbaik:bagus murah pengiriman cepat
Sepadan dengan Harga:murah

Murah sangat murah tp sedikit ada kendala waktu buka dlamnya spekernya lepas tp bisa di perbaiki trimakasih anak saya sangat suka"
diyahretnomurtiningrum,5,"Fitur Terbaik:suara jernih full power
Sepadan dengan Harga:harga murah kualitas bagus

Recomended, speaker mini suara kenceng, anak aku suka, pengiriman cepat"
titafransica,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:standar sangat murah

Makasih shopee bagus bgt barangnya semoga makin sukses ya shopee dan tokonya makasih makasih makasih ❤"
nurulkholifah20,4,"Fitur Terbaik:bagus
Sepadan dengan Harga:lumayan

Alhamdulillah barang sudah sampai
Bgus bas nya keren

Tp ngk ada volume yg di spicernya ya"
fahema24,5,"Kualitas sangat baik, harga murrah,  suara bagus n keras jg, cepat sampai"
riensaputri221,5,"Fitur Terbaik:mantab pokoke
Sepadan dengan Harga:ya

tadinya agak ragu soalnya barang enteng BANGET.pas dicoba wah suarane lumayan bagus utk harga segitu best BANGET pokoke.gak kecewa .trimakasih seller  👍👍👍👍"
i*****9,5,"Fitur Terbaik:mantap
Sepadan dengan Harga:oke

Alhamdulillah dtg juga.
Suara nya oke dan bagus speaker nya..
Seller & kurir nya ramah.."
yxvb7l9ilk,5,"Fitur Terbaik:oke
Sepadan dengan Harga:iya

Pengiriman cepat,,packing aman,,semua aman,,harga murah kualitas udah oke,,pokoknya puas bnget order kali ini👍👍👍👍"
l*****5,5,"terimaksi barang sudah sampai ,baaranya realpict sesuai dengan pesananan thanks"
v*****a,5,"Sepadan dengan Harga:sesuai
Fitur Terbaik:sangat bagus

Terimakasih kak. Barangnya sudah sampai
Harga terjangkau. Pengiriman juga aman dan cepat"
hf9crdyk2j,4,"Fitur Terbaik:bagus
Sepadan dengan Harga:harga terjangkau

Pengirimian cepat ,pengemasan bagus,"
fauziahnikma,5,"Sepadan dengan Harga:Sangat sepadan
Fitur Terbaik:Suara sangat istimewa

Gak nyangka banget ternyata speaker bluethoot nya lebih besar dari yang pernah saya beli di toko sebelah, harga nya lebih murah tapi kualitas sangat istimewa, suara nya jernih. Penjual sangat fast respon, amanah, Packing sangat aman dan rapi. Pengiriman super cepat, dan pasti nya wajib beli disini."
dessyirmawan12,5,"Fitur Terbaik:baik
Sepadan dengan Harga:sesuai harga

Barang nya bagus ga ada yg cacat,sound nya oke suara nya jernih"
a*****y,5,"Sepadan dengan Harga:mantabbb
Fitur Terbaik:kualitas bagus

enak banget buat sing song gess wajib di beli"
fety255,5,"Fitur Terbaik:baik
Sepadan dengan Harga:sangat

Terima kasih pesanan sudah sampai semua memuaskan pengiriman barang cepat harga terjangkau 😊😊😊"
f*****8,5,"Fitur Terbaik:baik
Sepadan dengan Harga:yaa

Pesanan sudah mendarat dengan selamat..
Semuanya berfungsi dengan baik, suara mantapp..
Makasih shopee
Makasih seller 🙏🙏"
yasminalejandro,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:bagus

Produk bagus looo meski murah , anak2 jg suka ,speaker yg bermanfaat banget, drpada beli mainan mahal belikan ini aja 😄"
ydewi_94,5,Sudah sampai ... pengiriman cepat.. toko amanah .  Aman semua . Bagus  . Rumayan  buat karaokean .. ini aku cas... berfungsi dengan baik. Berkah selalu tokonya😍😍😍
m.khairil_98,5,"Fitur Terbaik:suara ok banget...
Sepadan dengan Harga:ok lah buwat harga segitu

Anak.q suka bangeett"
tasrajut_98,5,"Alhamdulillah paket ud sampe, barang sesuai pesanan,ud d coba Alhamdulillah berfungsi dengan baik,SMG bs awet lama..."
i*****9,5,"Sepadan dengan Harga:iyaa
Fitur Terbaik:sesuai

Sangat bagus produk yang dijual... sangat suka dengan pelayanannya... seller ramah... barang datang cepat. Pasti akan beli lagi di toko ini..."
rinta_ayu12,5,"Sepadan dengan Harga:lumayan
Fitur Terbaik:ok

Seller ramah. Pengiriman cepet banget. Barang bagus sesuai pesanan. Suara jernih dan keras"
k*****o,5,"Fitur Terbaik:👍👍👍
Sepadan dengan Harga:sepadan

Barang oke, sempurna g ad yg cacat, 👍👍👍👍👍 pengiriman cepat"
a*****l,5,"Fitur Terbaik:ok
Sepadan dengan Harga:ok

Sudah nyampek barangnya. Sudah dicoba dan berfungsi dengan baik.pengiriman juga cepat banget. Thanks seller"
v*****y,5,"Fitur Terbaik:bagus banget ini murce juga
Sepadan dengan Harga:bagus realpict ges suka bgt adik aku

seller ramah kurir pun ramah suka deh pokonamah"
t*****a,5,"Fitur Terbaik:bajk
Sepadan dengan Harga:iya

Normal dan bagus 🥰"
sngtimur,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:👍

Alhamdulillah barangnya sudah sampai...tidak ada yg cacat,barangnya jga bagus harga recommended 😍😍😍😍"
cahyairani11,5,Pengiriman cepat sekali pesen siang sore langsung di kirim adminnya garcep berfungsi dengan baik harga murah sekali kuliatas bagus makasih😁🥰
sara.ynt,5,"Fitur Terbaik:suara keras dan jernih
Sepadan dengan Harga:sepadan

Cepet banget nyampenya, pesen kemarin hari ini nyampe. Barang oke, kualitas bagus, suara jernih. Keren lah best. Thanks seller."
i*****5,5,"Fitur Terbaik:baik
Sepadan dengan Harga:murce

Bagus banget speaker bluetooth cocok buat dengerin lagu suara juga keras enak didengar harga murah meriah the best toko disini suka banget thank you kak pengiriman cepet banget respon penjual gercep ❤️❤️❤️❤️❤️"
d*****1,5,"Sepadan dengan Harga:sesuai harga
Fitur Terbaik:mantappp

Mungil barangnya tpi enak buat santai ngilangin penat karena pekerjaan .. mantaapppp👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
Bsa jdi langganan"
ibad0703,4,"Fitur Terbaik:murah
Sepadan dengan Harga:sepadan

Harga terjangkau pngiriman cepat dan aman"
ekafebinrlayli,5,"Fitur Terbaik:baguss lucu
Sepadan dengan Harga:worth it si

haha aku pikir bakal kyk biasa aja ternyata keras juga suaranya mantep si buat harga segitu.enteng banget lagi jadi enak dibawa kemana"""
nurasiajamil99,3,"Fitur Terbaik:sesuai harga
Sepadan dengan Harga:sesuai dengan harga

Alhamdulillah pesanan saya sudah sampai pengiriman nya cepat banget kurir nya juga ramah banget harganya murah sesuai dengan harganya,"
dinapj,5,"Fitur Terbaik:ok
Sepadan dengan Harga:ok

Bagus banget, kecil mungil tapi suaranya oke..  pengiriman juga cepet, bakal beli lagi disini lagi nih nanti.."
s*****w,5,"Barang nya ok, mic nya juga ok, suaranya ok, mantap lah harganya juga terjangkau 👍"
f*****3,5,"Fitur Terbaik:iya
Sepadan dengan Harga:iya

Beli ini gara2 anak suka banget nyanyi
Alhamdulillah pemgiriman cepat
Pengemasan rapi
Malem co siangnya udh dtg ❤"
nalifa22,4,"Fitur Terbaik:bagus
Sepadan dengan Harga:cocok

Alhamdulillah... Selalu puas belanja disini
Ini sudah ke tiga kalinya belanja dsini, speaker berfungsi debgan baik, josa pokok.e

Cuman kali pengiriman agak lambat gak kyak biasanya,😁"
s*****a,5,"Fitur Terbaik:bagus
Sepadan dengan Harga:murah tp keren

Wah dgn harga segitu bisa dpt spiker + mic dan suaranya jg jernih
Bagus bgt"
rere_aisyah123,5,"Alhamdulillah pesanan sudah sampai dengan aman kemaren sore,  worth it banget dgn harga segitu sdh dpat speaker bluetooth sama mic nya,  cocok buat hiburan drumah,  ringan juga klo mau d bawa kemana2, laris terus jualannya min 😊"
moch.sholeh_mahmued,5,Barangnya sudah nyampek dgn selamat sesuai dengan pesanan . . . . Minusnya lampunya mati jadi kurang menarik.
d*****o,5,Alhamdulillah paket sdh sampai sesuai pesanan. Pengiriman sangat cepat. Sangat memuaskan. Suaranya jg bagus pas engga ada kresek atau suara2 yg mengganggu. Terimakasih
c*****2,5,"Fitur Terbaik:jos
Sepadan dengan Harga:siip

Puas banget....barang sesuai pesanan..amaan dan normal semua...kalo ada pesenan lagi..beli disini lagi aaahh...makasih seller..puasa pokoknya"
m*****9,5,"Fitur Terbaik:kualitas bagus
Sepadan dengan Harga:murah

Alhamdulillah datang sesuai pesanan. 
Pengemasan rapi.
Speaker + mic berfungsi dgn baik normal,no minus. 
Semoga tetap amanah.
Buat mas kurir makasi."
,5,"Fitur Terbaik:lumayan
Sepadan dengan Harga:sepadan

Ukuran 180 x 200
- Selimut Bulu abstrak
- Halus ,lembut dan Tebal sehingga nyaman dan enak di pakai
- Didesain comfy untuk memberikan kehangatan saat tidur"
betipurwanda98,5,"Puassss... Berfungsi dengan baik.. suara jernih, cukup bagus buat yg pngn karaoke dengan harga murah,,"
abdillah59a,5,"Fitur Terbaik:suara sangat nyaman di dengar hanya saja kurang keras saja
Sepadan dengan Harga:sangat rekomendasi dengan harga yang murah, speker bluetooth ini berfungsi dengan normal

Panjang kabel mic sangat panjang"
od62yij2vg,5,"Alhamdulillah barang datang bagus sesuai dengan pesanan,, suaranya bagus bngt ngebass.. mantuuull pokok e👍👍👍"
f*****f,5,"Fitur Terbaik:mic dan sound
Sepadan dengan Harga:ya

Kecil ya ternyata.. tapi speaker oke lah, mic juga berfungsi, semua berfungsi dg baik, packing aman krn tambah buble wrap 3k wkwk tp worth it sih, kardus juga gak penyok sama sekali semoga awet dan anak suka 😂 recomended 50k dapat speaker comel wkwkwk"
lukmansanjaya834,5,"Alhamdulillah barang sampai dengan selamat walaupun pengiriman lambat tapi suara,mic,berfungsi dengan baik mantap🙏🙏🙏."
w*****i,5,"Fitur Terbaik:suara oke
Sepadan dengan Harga:sepadan

Terima kasih seller.. pesanan sudah diterima dgn selamat 😊langsung dicoba, berfungsi dgn baik,  lumayan utk hiburan bocilku. Terima kasih seller, Shopee, dan mas kurir."
